ev,evGol,dep,depGol
GAZİANTEPSPOR,3,KONYASPOR,1
ISTANBULSPOR,3,RIZESPOR,0
TRABZONSPOR,2,A.SEBATSPOR,1
GALATASARAY,2,GENÇLERBİRLİĞİ,1
ANKARAGUCU,2,BURSASPOR,0
BESIKTAS,3,MALATYASPOR,1
RIZESPOR,0,TRABZONSPOR,3
SAMSUNSPOR,3,ISTANBULSPOR,3
ADANASPOR A.Ş.,2,DİYARBAKIRSPOR,1
KONYASPOR,1,GALATASARAY,0
A.SEBATSPOR,3,ELAZIĞSPOR,1
ANKARAGUCU,1,DENİZLİSPOR,1
BURSASPOR,0,GENÇLERBİRLİĞİ,0
FENERBAHCE,3,GAZİANTEPSPOR,1
TRABZONSPOR,2,SAMSUNSPOR,1
ISTANBULSPOR,1,BESIKTAS,1
MALATYASPOR,1,ANKARAGUCU,0
GAZİANTEPSPOR,1,ADANASPOR A.Ş.,0
GENÇLERBİRLİĞİ,4,KONYASPOR,0
DENİZLİSPOR,4,BURSASPOR,0
ELAZIĞSPOR,1,RIZESPOR,1
GALATASARAY,2,FENERBAHCE,2
DİYARBAKIRSPOR,1,A.SEBATSPOR,0
ADANASPOR A.Ş.,0,GALATASARAY,2
SAMSUNSPOR,2,ELAZIĞSPOR,0
FENERBAHCE,1,GENÇLERBİRLİĞİ,0
ANKARAGUCU,2,ISTANBULSPOR,1
BURSASPOR,2,KONYASPOR,1
A.SEBATSPOR,1,GAZİANTEPSPOR,2
DENİZLİSPOR,1,MALATYASPOR,0
RIZESPOR,2,DİYARBAKIRSPOR,1
BESIKTAS,5,TRABZONSPOR,0
KONYASPOR,2,FENERBAHCE,4
ISTANBULSPOR,0,DENİZLİSPOR,3
GALATASARAY,4,A.SEBATSPOR,3
MALATYASPOR,2,BURSASPOR,1
GENÇLERBİRLİĞİ,6,ADANASPOR A.Ş.,0
ELAZIĞSPOR,1,BESIKTAS,5
GAZİANTEPSPOR,2,RIZESPOR,0
TRABZONSPOR,3,ANKARAGUCU,0
DİYARBAKIRSPOR,2,SAMSUNSPOR,2
RIZESPOR,0,GALATASARAY,1
BESIKTAS,1,DİYARBAKIRSPOR,0
ADANASPOR A.Ş.,1,KONYASPOR,1
ANKARAGUCU,1,ELAZIĞSPOR,0
A.SEBATSPOR,0,GENÇLERBİRLİĞİ,3
MALATYASPOR,2,ISTANBULSPOR,1
SAMSUNSPOR,1,GAZİANTEPSPOR,2
DENİZLİSPOR,0,TRABZONSPOR,1
BURSASPOR,2,FENERBAHCE,2
FENERBAHCE,3,ADANASPOR A.Ş.,0
ELAZIĞSPOR,2,DENİZLİSPOR,4
DİYARBAKIRSPOR,1,ANKARAGUCU,1
TRABZONSPOR,0,MALATYASPOR,0
GALATASARAY,1,SAMSUNSPOR,0
ISTANBULSPOR,3,BURSASPOR,0
GENÇLERBİRLİĞİ,1,RIZESPOR,0
GAZİANTEPSPOR,0,BESIKTAS,3
KONYASPOR,0,A.SEBATSPOR,0
BESIKTAS,0,GALATASARAY,0
DENİZLİSPOR,1,DİYARBAKIRSPOR,2
SAMSUNSPOR,2,GENÇLERBİRLİĞİ,1
ISTANBULSPOR,0,TRABZONSPOR,2
ANKARAGUCU,1,GAZİANTEPSPOR,4
MALATYASPOR,3,ELAZIĞSPOR,0
BURSASPOR,6,ADANASPOR A.Ş.,0
RIZESPOR,1,KONYASPOR,1
A.SEBATSPOR,1,FENERBAHCE,1
TRABZONSPOR,2,BURSASPOR,0
ADANASPOR A.Ş.,1,A.SEBATSPOR,2
KONYASPOR,0,SAMSUNSPOR,0
ELAZIĞSPOR,1,ISTANBULSPOR,1
DİYARBAKIRSPOR,2,MALATYASPOR,0
GAZİANTEPSPOR,1,DENİZLİSPOR,2
GENÇLERBİRLİĞİ,1,BESIKTAS,2
GALATASARAY,2,ANKARAGUCU,1
FENERBAHCE,4,RIZESPOR,1
ANKARAGUCU,2,GENÇLERBİRLİĞİ,3
MALATYASPOR,0,GAZİANTEPSPOR,0
DENİZLİSPOR,2,GALATASARAY,1
BESIKTAS,1,KONYASPOR,1
RIZESPOR,0,ADANASPOR A.Ş.,2
TRABZONSPOR,2,ELAZIĞSPOR,2
ISTANBULSPOR,1,DİYARBAKIRSPOR,3
BURSASPOR,1,A.SEBATSPOR,1
SAMSUNSPOR,3,FENERBAHCE,0
GALATASARAY,2,MALATYASPOR,2
A.SEBATSPOR,1,RIZESPOR,0
ELAZIĞSPOR,1,BURSASPOR,0
KONYASPOR,1,ANKARAGUCU,1
DİYARBAKIRSPOR,2,TRABZONSPOR,2
ADANASPOR A.Ş.,2,SAMSUNSPOR,3
GAZİANTEPSPOR,2,ISTANBULSPOR,1
GENÇLERBİRLİĞİ,1,DENİZLİSPOR,3
FENERBAHCE,2,BESIKTAS,2
BESIKTAS,2,ADANASPOR A.Ş.,1
SAMSUNSPOR,1,A.SEBATSPOR,1
ISTANBULSPOR,3,GALATASARAY,1
