macNo,ev,evGol,dep,depGol
350,BURSASPOR,0,GENÇLERBİRLİĞİ,0
351,FENERBAHCE,3,GAZIANTEPFK,1
352,TRABZONSPOR,2,SAMSUNSPOR,1
353,ISTANBULSPOR,1,BESIKTAS,1
354,MALATYASPOR,1,ANKARAGUCU,0
355,GAZIANTEPFK,1,ADANASPOR A.Ş.,0
356,GENÇLERBİRLİĞİ,4,KONYASPOR,0
357,DENİZLİSPOR,4,BURSASPOR,0
358,ELAZIĞSPOR,1,RIZESPOR,1
359,GALATASARAY,2,FENERBAHCE,2
360,DİYARBAKIRSPOR,1,A.SEBATSPOR,0
361,ADANASPOR A.Ş.,0,GALATASARAY,2
362,SAMSUNSPOR,2,ELAZIĞSPOR,0
363,FENERBAHCE,1,GENÇLERBİRLİĞİ,0
364,ANKARAGUCU,2,ISTANBULSPOR,1
365,BURSASPOR,2,KONYASPOR,1
366,A.SEBATSPOR,1,GAZIANTEPFK,2
367,DENİZLİSPOR,1,MALATYASPOR,0
368,RIZESPOR,2,DİYARBAKIRSPOR,1
369,BESIKTAS,5,TRABZONSPOR,0
370,KONYASPOR,2,FENERBAHCE,4
371,ISTANBULSPOR,0,DENİZLİSPOR,3
372,GALATASARAY,4,A.SEBATSPOR,3
373,MALATYASPOR,2,BURSASPOR,1
374,GENÇLERBİRLİĞİ,6,ADANASPOR A.Ş.,0
375,ELAZIĞSPOR,1,BESIKTAS,5
376,GAZIANTEPFK,2,RIZESPOR,0
377,TRABZONSPOR,3,ANKARAGUCU,0
378,DİYARBAKIRSPOR,2,SAMSUNSPOR,2
379,RIZESPOR,0,GALATASARAY,1
380,BESIKTAS,1,DİYARBAKIRSPOR,0
381,ADANASPOR A.Ş.,1,KONYASPOR,1
382,ANKARAGUCU,1,ELAZIĞSPOR,0
383,A.SEBATSPOR,0,GENÇLERBİRLİĞİ,3
384,MALATYASPOR,2,ISTANBULSPOR,1
385,SAMSUNSPOR,1,GAZIANTEPFK,2
386,DENİZLİSPOR,0,TRABZONSPOR,1
387,BURSASPOR,2,FENERBAHCE,2
388,FENERBAHCE,3,ADANASPOR A.Ş.,0
389,ELAZIĞSPOR,2,DENİZLİSPOR,4
390,DİYARBAKIRSPOR,1,ANKARAGUCU,1
391,TRABZONSPOR,0,MALATYASPOR,0
392,GALATASARAY,1,SAMSUNSPOR,0
393,ISTANBULSPOR,3,BURSASPOR,0
394,GENÇLERBİRLİĞİ,1,RIZESPOR,0
395,GAZIANTEPFK,0,BESIKTAS,3
396,KONYASPOR,0,A.SEBATSPOR,0
397,BESIKTAS,0,GALATASARAY,0
398,DENİZLİSPOR,1,DİYARBAKIRSPOR,2
399,SAMSUNSPOR,2,GENÇLERBİRLİĞİ,1
400,ISTANBULSPOR,0,TRABZONSPOR,2
401,ANKARAGUCU,1,GAZIANTEPFK,4
402,MALATYASPOR,3,ELAZIĞSPOR,0
403,BURSASPOR,6,ADANASPOR A.Ş.,0
404,RIZESPOR,1,KONYASPOR,1
405,A.SEBATSPOR,1,FENERBAHCE,1
406,TRABZONSPOR,2,BURSASPOR,0
407,ADANASPOR A.Ş.,1,A.SEBATSPOR,2
408,KONYASPOR,0,SAMSUNSPOR,0
409,ELAZIĞSPOR,1,ISTANBULSPOR,1
410,DİYARBAKIRSPOR,2,MALATYASPOR,0
411,GAZIANTEPFK,1,DENİZLİSPOR,2
