macNo,ev,evGol,dep,depGol
4572,BESIKTAS,2,AKHİSARSPOR,1
4573,GÖZTEPE A.Ş.,1,YENİ MALATYASPOR,3
4574,KAYSERISPOR,2,ANTALYASPOR,0
4575,TRABZONSPOR,3,SIVASSPOR,1
4576,BURSASPOR,0,KAYSERISPOR,0
4577,ANTALYASPOR,3,KONYASPOR,3
4578,EVKUR YENİ MALATYASPOR,1,FENERBAHCE,0
4579,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,BESIKTAS,3
4580,AKHİSARSPOR,1,RIZESPOR,1
4581,ALANYASPOR,0,ANKARAGUCU,2
4582,GALATASARAY,1,GÖZTEPE A.Ş.,0
4583,KASIMPASA,2,BASAKSEHIR,1
4584,RIZESPOR,0,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0
4585,ANKARAGUCU,2,TRABZONSPOR,2
4586,GÖZTEPE A.Ş.,1,FENERBAHCE,0
4587,KAYSERISPOR,0,EVKUR YENİ MALATYASPOR,0
4588,SIVASSPOR,0,KASIMPASA,3
4589,BESIKTAS,2,ANTALYASPOR,3
4590,KONYASPOR,1,BURSASPOR,1
4591,BASAKSEHIR,3,AKHİSARSPOR,1
4592,GALATASARAY,6,ALANYASPOR,0
4593,EVKUR YENİ MALATYASPOR,0,KONYASPOR,1
4594,FENERBAHCE,2,KAYSERISPOR,3
4595,AKHİSARSPOR,1,SIVASSPOR,1
4596,TRABZONSPOR,4,GALATASARAY,0
4597,ALANYASPOR,1,GÖZTEPE A.Ş.,0
4598,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,BASAKSEHIR,1
4599,KASIMPASA,2,ANKARAGUCU,1
4600,ANTALYASPOR,2,RIZESPOR,1
4601,BURSASPOR,1,BESIKTAS,1
4602,GALATASARAY,4,KASIMPASA,1
4603,ANKARAGUCU,1,AKHİSARSPOR,0
4604,GÖZTEPE A.Ş.,2,KAYSERISPOR,0
4605,BESIKTAS,2,EVKUR YENİ MALATYASPOR,1
4606,SIVASSPOR,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2
4607,BASAKSEHIR,4,ANTALYASPOR,0
4608,RIZESPOR,1,BURSASPOR,1
4609,KONYASPOR,0,FENERBAHCE,1
4610,ALANYASPOR,1,TRABZONSPOR,0
4611,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,ANKARAGUCU,1
4612,BURSASPOR,0,BASAKSEHIR,0
4613,EVKUR YENİ MALATYASPOR,1,RIZESPOR,0
4614,KAYSERISPOR,0,KONYASPOR,2
4615,TRABZONSPOR,1,GÖZTEPE A.Ş.,2
4616,KASIMPASA,1,ALANYASPOR,2
4617,ANTALYASPOR,2,SIVASSPOR,1
4618,AKHİSARSPOR,3,GALATASARAY,0
4619,FENERBAHCE,1,BESIKTAS,1
4620,GALATASARAY,1,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0
4621,TRABZONSPOR,4,KASIMPASA,2
4622,ALANYASPOR,2,AKHİSARSPOR,1
4623,BESIKTAS,2,KAYSERISPOR,0
4624,SIVASSPOR,2,BURSASPOR,0
4625,GÖZTEPE A.Ş.,3,KONYASPOR,2
4626,RIZESPOR,3,FENERBAHCE,0
4627,ANKARAGUCU,0,ANTALYASPOR,1
4628,BASAKSEHIR,1,EVKUR YENİ MALATYASPOR,1
4629,KASIMPASA,3,GÖZTEPE A.Ş.,1
4630,KAYSERISPOR,2,RIZESPOR,2
4631,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,ALANYASPOR,0
4632,BURSASPOR,1,ANKARAGUCU,0
4633,ANTALYASPOR,0,GALATASARAY,1
4634,EVKUR YENİ MALATYASPOR,4,SIVASSPOR,4
4635,FENERBAHCE,0,BASAKSEHIR,0
4636,AKHİSARSPOR,1,TRABZONSPOR,3
4637,KONYASPOR,2,BESIKTAS,2
4638,GALATASARAY,1,BURSASPOR,1
4639,KASIMPASA,5,AKHİSARSPOR,0
4640,BASAKSEHIR,1,KAYSERISPOR,0
4641,SIVASSPOR,0,FENERBAHCE,0
4642,RIZESPOR,1,KONYASPOR,1
4643,ANKARAGUCU,1,EVKUR YENİ MALATYASPOR,0
4644,ALANYASPOR,0,ANTALYASPOR,1
4645,GÖZTEPE A.Ş.,2,BESIKTAS,0
4646,TRABZONSPOR,0,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0
4647,BURSASPOR,2,ALANYASPOR,0
4648,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,KASIMPASA,1
4649,KONYASPOR,0,BASAKSEHIR,1
4650,ANTALYASPOR,1,TRABZONSPOR,1
4651,KAYSERISPOR,2,SIVASSPOR,0
4652,EVKUR YENİ MALATYASPOR,2,GALATASARAY,0
4653,FENERBAHCE,1,ANKARAGUCU,3
4654,AKHİSARSPOR,1,GÖZTEPE A.Ş.,0
4655,BESIKTAS,4,RIZESPOR,1
4656,GALATASARAY,2,FENERBAHCE,2
4657,KASIMPASA,1,ANTALYASPOR,2
4658,AKHİSARSPOR,1,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4659,BASAKSEHIR,1,BESIKTAS,0
4660,ANKARAGUCU,3,KAYSERISPOR,1
4661,ALANYASPOR,0,EVKUR YENİ MALATYASPOR,1
4662,TRABZONSPOR,1,BURSASPOR,1
4663,GÖZTEPE A.Ş.,2,RIZESPOR,0
4664,SIVASSPOR,0,KONYASPOR,0
4665,EVKUR YENİ MALATYASPOR,5,TRABZONSPOR,0
4666,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2,GÖZTEPE A.Ş.,1
4667,KONYASPOR,2,ANKARAGUCU,0
4668,RIZESPOR,1,BASAKSEHIR,2
4669,KAYSERISPOR,0,GALATASARAY,3
4670,BURSASPOR,1,KASIMPASA,2
4671,FENERBAHCE,2,ALANYASPOR,0
4672,ANTALYASPOR,1,AKHİSARSPOR,2
4673,BESIKTAS,1,SIVASSPOR,2
4674,GALATASARAY,1,KONYASPOR,1
4675,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,ANTALYASPOR,0
4676,ALANYASPOR,5,KAYSERISPOR,0
4677,ANKARAGUCU,1,BESIKTAS,4
4678,SIVASSPOR,1,RIZESPOR,1
4679,AKHİSARSPOR,2,BURSASPOR,4
4680,TRABZONSPOR,2,FENERBAHCE,1
4681,KASIMPASA,3,EVKUR YENİ MALATYASPOR,0
4682,GÖZTEPE A.Ş.,0,BASAKSEHIR,2
4683,RIZESPOR,1,ANKARAGUCU,1
4684,KONYASPOR,2,ALANYASPOR,0
4685,BASAKSEHIR,0,SIVASSPOR,1
4686,ANTALYASPOR,1,GÖZTEPE A.Ş.,0
4687,KAYSERISPOR,0,TRABZONSPOR,2
4688,BURSASPOR,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4689,BESIKTAS,1,GALATASARAY,0
4690,EVKUR YENİ MALATYASPOR,1,AKHİSARSPOR,1
4691,FENERBAHCE,2,KASIMPASA,2
4692,ALANYASPOR,0,BESIKTAS,0
4693,SIVASSPOR,2,GÖZTEPE A.Ş.,0
4694,TRABZONSPOR,3,KONYASPOR,0
4695,GALATASARAY,2,RIZESPOR,2
4696,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,EVKUR YENİ MALATYASPOR,3
4697,BURSASPOR,0,ANTALYASPOR,2
4698,AKHİSARSPOR,3,FENERBAHCE,0
4699,ANKARAGUCU,0,BASAKSEHIR,1
4700,KASIMPASA,0,KAYSERISPOR,3
4701,GÖZTEPE A.Ş.,0,BURSASPOR,0
4702,RIZESPOR,1,ALANYASPOR,1
4703,SIVASSPOR,4,ANKARAGUCU,0
4704,KONYASPOR,3,KASIMPASA,2
4705,BASAKSEHIR,1,GALATASARAY,1
4706,EVKUR YENİ MALATYASPOR,2,ANTALYASPOR,0
4707,KAYSERISPOR,1,AKHİSARSPOR,0
4708,BESIKTAS,2,TRABZONSPOR,2
4709,FENERBAHCE,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2
4710,ANKARAGUCU,0,GÖZTEPE A.Ş.,3
4711,ALANYASPOR,1,BASAKSEHIR,1
4712,KASIMPASA,4,BESIKTAS,1
4713,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,KAYSERISPOR,1
4714,TRABZONSPOR,4,RIZESPOR,1
4715,BURSASPOR,1,EVKUR YENİ MALATYASPOR,1
4716,GALATASARAY,4,SIVASSPOR,2
4717,ANTALYASPOR,0,FENERBAHCE,0
4718,AKHİSARSPOR,0,KONYASPOR,0
4719,AKHİSARSPOR,0,BESIKTAS,3
4720,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,KONYASPOR,2
4721,EVKUR YENİ MALATYASPOR,3,GÖZTEPE A.Ş.,2
4722,ANTALYASPOR,0,KAYSERISPOR,0
4723,GALATASARAY,6,ANKARAGUCU,0
4724,ALANYASPOR,2,SIVASSPOR,0
4725,TRABZONSPOR,2,BASAKSEHIR,4
4726,KASIMPASA,0,RIZESPOR,1
4727,BURSASPOR,1,FENERBAHCE,1
4728,BESIKTAS,1,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4729,KAYSERISPOR,1,BURSASPOR,1
4730,GÖZTEPE A.Ş.,0,GALATASARAY,1
4731,RIZESPOR,3,AKHİSARSPOR,1
4732,KONYASPOR,2,ANTALYASPOR,0
4733,SIVASSPOR,1,TRABZONSPOR,1
4734,BASAKSEHIR,2,KASIMPASA,0
4735,ANKARAGUCU,0,ALANYASPOR,2
4736,FENERBAHCE,3,EVKUR YENİ MALATYASPOR,2
4737,FENERBAHCE,2,GÖZTEPE A.Ş.,0
4738,EVKUR YENİ MALATYASPOR,1,KAYSERISPOR,1
4739,KASIMPASA,1,SIVASSPOR,3
4740,TRABZONSPOR,1,ANKARAGUCU,0
4741,ALANYASPOR,1,GALATASARAY,1
4742,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,RIZESPOR,1
4743,AKHİSARSPOR,0,BASAKSEHIR,3
4744,ANTALYASPOR,2,BESIKTAS,6
4745,BURSASPOR,0,KONYASPOR,0
4746,KAYSERISPOR,1,FENERBAHCE,0
4747,BASAKSEHIR,1,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4748,RIZESPOR,1,ANTALYASPOR,1
4749,BESIKTAS,2,BURSASPOR,0
4750,KONYASPOR,1,EVKUR YENİ MALATYASPOR,1
4751,GÖZTEPE A.Ş.,3,ALANYASPOR,2
4752,GALATASARAY,3,TRABZONSPOR,1
4753,ANKARAGUCU,3,KASIMPASA,0
4754,SIVASSPOR,2,AKHİSARSPOR,1
4755,EVKUR YENİ MALATYASPOR,1,BESIKTAS,2
4756,AKHİSARSPOR,0,ANKARAGUCU,0
4757,BURSASPOR,0,RIZESPOR,2
4758,FENERBAHCE,1,KONYASPOR,1
4759,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,4,SIVASSPOR,2
4760,TRABZONSPOR,0,ALANYASPOR,2
4761,KAYSERISPOR,2,GÖZTEPE A.Ş.,1
4762,KASIMPASA,1,GALATASARAY,4
4763,ANTALYASPOR,0,BASAKSEHIR,1
4764,GÖZTEPE A.Ş.,1,TRABZONSPOR,3
4765,RIZESPOR,3,EVKUR YENİ MALATYASPOR,0
4766,SIVASSPOR,1,ANTALYASPOR,2
4767,ALANYASPOR,3,KASIMPASA,0
4768,ANKARAGUCU,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4769,KONYASPOR,0,KAYSERISPOR,1
4770,GALATASARAY,1,AKHİSARSPOR,0
4771,BASAKSEHIR,3,BURSASPOR,0
4772,BESIKTAS,3,FENERBAHCE,3
4773,ANTALYASPOR,2,ANKARAGUCU,4
4774,BURSASPOR,3,SIVASSPOR,2
4775,KAYSERISPOR,2,BESIKTAS,2
4776,FENERBAHCE,3,RIZESPOR,2
4777,KONYASPOR,1,GÖZTEPE A.Ş.,1
4778,EVKUR YENİ MALATYASPOR,0,BASAKSEHIR,2
4779,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,GALATASARAY,1
4780,KASIMPASA,2,TRABZONSPOR,2
4781,AKHİSARSPOR,3,ALANYASPOR,1
4782,SIVASSPOR,2,EVKUR YENİ MALATYASPOR,0
4783,TRABZONSPOR,2,AKHİSARSPOR,1
4784,BASAKSEHIR,2,FENERBAHCE,1
4785,ANKARAGUCU,0,BURSASPOR,0
4786,ALANYASPOR,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4787,GÖZTEPE A.Ş.,0,KASIMPASA,0
4788,RIZESPOR,3,KAYSERISPOR,0
4789,BESIKTAS,3,KONYASPOR,2
4790,GALATASARAY,5,ANTALYASPOR,0
4791,FENERBAHCE,2,SIVASSPOR,1
4792,KONYASPOR,0,RIZESPOR,2
4793,AKHİSARSPOR,2,KASIMPASA,3
4794,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,TRABZONSPOR,1
4795,ANTALYASPOR,3,ALANYASPOR,0
4796,BESIKTAS,1,GÖZTEPE A.Ş.,0
4797,EVKUR YENİ MALATYASPOR,3,ANKARAGUCU,1
4798,KAYSERISPOR,1,BASAKSEHIR,1
4799,BURSASPOR,2,GALATASARAY,3
4800,TRABZONSPOR,4,ANTALYASPOR,1
4801,SIVASSPOR,1,KAYSERISPOR,3
4802,ALANYASPOR,1,BURSASPOR,0
4803,GALATASARAY,3,EVKUR YENİ MALATYASPOR,0
4804,KASIMPASA,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4805,GÖZTEPE A.Ş.,0,AKHİSARSPOR,1
4806,ANKARAGUCU,1,FENERBAHCE,1
4807,BASAKSEHIR,2,KONYASPOR,0
4808,RIZESPOR,2,BESIKTAS,7
4809,BURSASPOR,0,TRABZONSPOR,1
4810,RIZESPOR,1,GÖZTEPE A.Ş.,0
4811,KONYASPOR,1,SIVASSPOR,1
4812,BESIKTAS,2,BASAKSEHIR,1
4813,KAYSERISPOR,0,ANKARAGUCU,2
4814,ANTALYASPOR,1,KASIMPASA,0
4815,EVKUR YENİ MALATYASPOR,1,ALANYASPOR,1
4816,FENERBAHCE,1,GALATASARAY,1
4817,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2,AKHİSARSPOR,1
4818,KASIMPASA,1,BURSASPOR,1
4819,TRABZONSPOR,2,EVKUR YENİ MALATYASPOR,1
4820,AKHİSARSPOR,1,ANTALYASPOR,2
4821,GALATASARAY,3,KAYSERISPOR,1
4822,GÖZTEPE A.Ş.,0,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4823,ANKARAGUCU,0,KONYASPOR,0
4824,BASAKSEHIR,1,RIZESPOR,1
4825,ALANYASPOR,1,FENERBAHCE,0
4826,SIVASSPOR,1,BESIKTAS,2
4827,BASAKSEHIR,0,GÖZTEPE A.Ş.,2
4828,RIZESPOR,0,SIVASSPOR,0
4829,ANTALYASPOR,1,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4830,FENERBAHCE,1,TRABZONSPOR,1
4831,KAYSERISPOR,1,ALANYASPOR,1
4832,BURSASPOR,0,AKHİSARSPOR,0
4833,BESIKTAS,4,ANKARAGUCU,1
4834,EVKUR YENİ MALATYASPOR,2,KASIMPASA,1
4835,KONYASPOR,0,GALATASARAY,0
4836,SIVASSPOR,0,BASAKSEHIR,0
4837,ANKARAGUCU,2,RIZESPOR,2
4838,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2,BURSASPOR,0
4839,KASIMPASA,1,FENERBAHCE,3
4840,AKHİSARSPOR,0,EVKUR YENİ MALATYASPOR,2
4841,GÖZTEPE A.Ş.,4,ANTALYASPOR,1
4842,GALATASARAY,2,BESIKTAS,0
4843,ALANYASPOR,2,KONYASPOR,4
4844,TRABZONSPOR,4,KAYSERISPOR,2
4845,ANTALYASPOR,0,BURSASPOR,1
4846,RIZESPOR,2,GALATASARAY,3
4847,FENERBAHCE,2,AKHİSARSPOR,1
4848,GÖZTEPE A.Ş.,3,SIVASSPOR,3
4849,KAYSERISPOR,2,KASIMPASA,1
4850,KONYASPOR,2,TRABZONSPOR,2
4851,BASAKSEHIR,2,ANKARAGUCU,1
4852,EVKUR YENİ MALATYASPOR,3,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1
4853,BESIKTAS,2,ALANYASPOR,1
4854,KASIMPASA,1,KONYASPOR,1
4855,ANTALYASPOR,3,EVKUR YENİ MALATYASPOR,0
4856,TRABZONSPOR,2,BESIKTAS,1
4857,AKHİSARSPOR,2,KAYSERISPOR,2
4858,BURSASPOR,0,GÖZTEPE A.Ş.,0
4859,ALANYASPOR,1,RIZESPOR,1
4860,GALATASARAY,2,BASAKSEHIR,1
4861,ANKARAGUCU,3,SIVASSPOR,1
4862,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,FENERBAHCE,1
4863,BASAKSEHIR,1,ALANYASPOR,1
4864,BESIKTAS,3,KASIMPASA,2
4865,SIVASSPOR,4,GALATASARAY,3
4866,RIZESPOR,2,TRABZONSPOR,3
4867,KONYASPOR,0,AKHİSARSPOR,0
4868,GÖZTEPE A.Ş.,2,ANKARAGUCU,1
4869,FENERBAHCE,3,ANTALYASPOR,1
4870,KAYSERISPOR,0,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2
4871,EVKUR YENİ MALATYASPOR,1,BURSASPOR,2
4872,YUKATEL DENİZLİSPOR,2,GALATASARAY,0
4873,GENÇLERBİRLİĞİ,0,RIZESPOR,1
4874,SIVASSPOR,3,BESIKTAS,0
4875,KAYSERISPOR,0,ALANYASPOR,1
4876,KONYASPOR,0,ANKARAGUCU,0
4877,YENİ MALATYASPOR,3,BASAKSEHIR,0
4878,KASIMPASA,1,TRABZONSPOR,1
4879,GÖZTEPE A.Ş.,0,ANTALYASPOR,1
4880,FENERBAHCE,5,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,0
4881,BESIKTAS,3,GÖZTEPE A.Ş.,0
4882,ANKARAGUCU,1,KAYSERISPOR,1
4883,ALANYASPOR,4,KASIMPASA,1
4884,BASAKSEHIR,1,FENERBAHCE,2
4885,RIZESPOR,2,SIVASSPOR,1
4886,TRABZONSPOR,2,YENİ MALATYASPOR,1
4887,ANTALYASPOR,0,YUKATEL DENİZLİSPOR,2
4888,GALATASARAY,1,KONYASPOR,1
4889,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,4,GENÇLERBİRLİĞİ,1
4890,KASIMPASA,0,ANKARAGUCU,1
4891,KAYSERISPOR,2,GALATASARAY,3
4892,KONYASPOR,2,ANTALYASPOR,2
4893,GÖZTEPE A.Ş.,0,YUKATEL DENİZLİSPOR,0
4894,BESIKTAS,1,RIZESPOR,1
4895,GENÇLERBİRLİĞİ,1,BASAKSEHIR,2
4896,SIVASSPOR,1,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,1
4897,FENERBAHCE,1,TRABZONSPOR,1
4898,BTC TURK YENİ MALATYASPOR,2,ALANYASPOR,3
4899,GALATASARAY,1,KASIMPASA,0
4900,BASAKSEHIR,1,SIVASSPOR,1
4901,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,3,BESIKTAS,2
4902,ANTALYASPOR,2,KAYSERISPOR,2
4903,ANKARAGUCU,0,BTC TURK YENİ MALATYASPOR,4
4904,RIZESPOR,0,GÖZTEPE A.Ş.,0
4905,YUKATEL DENİZLİSPOR,0,KONYASPOR,1
4906,TRABZONSPOR,2,GENÇLERBİRLİĞİ,2
4907,ALANYASPOR,3,FENERBAHCE,1
4908,GÖZTEPE A.Ş.,1,KONYASPOR,0
4909,KASIMPASA,3,ANTALYASPOR,0
4910,KAYSERISPOR,1,YUKATEL DENİZLİSPOR,1
4911,FENERBAHCE,2,ANKARAGUCU,1
4912,RIZESPOR,1,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,2
4913,GENÇLERBİRLİĞİ,1,ALANYASPOR,1
4914,BTC TURK YENİ MALATYASPOR,1,GALATASARAY,1
4915,SIVASSPOR,2,TRABZONSPOR,1
4916,BESIKTAS,1,BASAKSEHIR,1
4917,BASAKSEHIR,5,RIZESPOR,0
4918,YUKATEL DENİZLİSPOR,0,KASIMPASA,1
4919,ALANYASPOR,1,SIVASSPOR,1
4920,GALATASARAY,0,FENERBAHCE,0
4921,KONYASPOR,2,KAYSERISPOR,1
4922,ANTALYASPOR,3,BTC TURK YENİ MALATYASPOR,0
4923,ANKARAGUCU,2,GENÇLERBİRLİĞİ,1
4924,TRABZONSPOR,4,BESIKTAS,1
4925,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,1,GÖZTEPE A.Ş.,1
4926,BTC TURK YENİ MALATYASPOR,5,YUKATEL DENİZLİSPOR,1
4927,FENERBAHCE,0,ANTALYASPOR,1
4928,KASIMPASA,1,KONYASPOR,4
4929,GÖZTEPE A.Ş.,4,KAYSERISPOR,0
4930,GENÇLERBİRLİĞİ,0,GALATASARAY,0
4931,SIVASSPOR,3,ANKARAGUCU,1
4932,BESIKTAS,2,ALANYASPOR,0
4933,GAZIANTEPFK,1,BASAKSEHIR,2
4934,RIZESPOR,1,TRABZONSPOR,2
4935,GALATASARAY,3,SIVASSPOR,2
4936,ANTALYASPOR,0,GENÇLERBİRLİĞİ,6
4937,TRABZONSPOR,4,GAZIANTEPFK,1
4938,BASAKSEHIR,2,GÖZTEPE A.Ş.,1
4939,ANKARAGUCU,0,BESIKTAS,0
4940,KAYSERISPOR,1,KASIMPASA,1
4941,ALANYASPOR,5,RIZESPOR,2
4942,YUKATEL DENİZLİSPOR,1,FENERBAHCE,2
4943,KONYASPOR,0,BTC TURK YENİ MALATYASPOR,2
4944,RIZESPOR,2,ANKARAGUCU,0
4945,SIVASSPOR,2,ANTALYASPOR,1
4946,GAZIANTEPFK,1,ALANYASPOR,1
4947,FENERBAHCE,5,KONYASPOR,1
4948,BTC TURK YENİ MALATYASPOR,4,KAYSERISPOR,0
4949,GENÇLERBİRLİĞİ,0,YUKATEL DENİZLİSPOR,2
4950,GÖZTEPE A.Ş.,1,KASIMPASA,4
4951,BESIKTAS,1,GALATASARAY,0
4952,BASAKSEHIR,2,TRABZONSPOR,2
4953,GALATASARAY,2,RIZESPOR,0
4954,KONYASPOR,1,GENÇLERBİRLİĞİ,1
4955,ALANYASPOR,0,BASAKSEHIR,0
4956,TRABZONSPOR,0,GÖZTEPE A.Ş.,1
4957,ANTALYASPOR,1,BESIKTAS,2
4958,YUKATEL DENİZLİSPOR,0,SIVASSPOR,2
4959,KASIMPASA,2,BTC TURK YENİ MALATYASPOR,2
4960,KAYSERISPOR,1,FENERBAHCE,0
4961,ANKARAGUCU,1,GAZIANTEPFK,2
4962,FENERBAHCE,3,KASIMPASA,2
4963,GENÇLERBİRLİĞİ,2,KAYSERISPOR,1
4964,SIVASSPOR,2,KONYASPOR,0
4965,RIZESPOR,1,ANTALYASPOR,0
4966,GAZIANTEPFK,0,GALATASARAY,2
4967,GÖZTEPE A.Ş.,1,BTC TURK YENİ MALATYASPOR,1
4968,TRABZONSPOR,1,ALANYASPOR,0
4969,BASAKSEHIR,2,ANKARAGUCU,1
4970,BESIKTAS,1,YUKATEL DENİZLİSPOR,0
4971,GALATASARAY,0,BASAKSEHIR,1
4972,YUKATEL DENİZLİSPOR,2,RIZESPOR,0
4973,ANKARAGUCU,0,TRABZONSPOR,3
4974,KONYASPOR,0,BESIKTAS,1
4975,KAYSERISPOR,1,SIVASSPOR,4
4976,KASIMPASA,1,GENÇLERBİRLİĞİ,2
4977,ALANYASPOR,0,GÖZTEPE A.Ş.,1
4978,BTC TURK YENİ MALATYASPOR,0,FENERBAHCE,0
4979,ANTALYASPOR,1,GAZIANTEPFK,1
4980,GENÇLERBİRLİĞİ,3,BTC TURK YENİ MALATYASPOR,3
4981,SIVASSPOR,2,KASIMPASA,0
4982,RIZESPOR,3,KONYASPOR,1
4983,ALANYASPOR,5,ANKARAGUCU,0
4984,GÖZTEPE A.Ş.,2,FENERBAHCE,2
4985,GAZIANTEPFK,1,YUKATEL DENİZLİSPOR,2
4986,BASAKSEHIR,2,ANTALYASPOR,0
4987,TRABZONSPOR,1,GALATASARAY,1
4988,BESIKTAS,4,KAYSERISPOR,1
4989,FENERBAHCE,5,GENÇLERBİRLİĞİ,2
4990,BTC TURK YENİ MALATYASPOR,1,SIVASSPOR,3
4991,ANKARAGUCU,1,GÖZTEPE A.Ş.,3
4992,GALATASARAY,1,ALANYASPOR,0
4993,KONYASPOR,0,GAZIANTEPFK,0
4994,ANTALYASPOR,1,TRABZONSPOR,3
4995,YUKATEL DENİZLİSPOR,1,BASAKSEHIR,1
4996,KASIMPASA,2,BESIKTAS,3
4997,KAYSERISPOR,1,RIZESPOR,0
4998,ALANYASPOR,0,ANTALYASPOR,0
4999,RIZESPOR,0,KASIMPASA,3
5000,GENÇLERBİRLİĞİ,3,GÖZTEPE A.Ş.,1
5001,GALATASARAY,2,ANKARAGUCU,2
5002,GAZIANTEPFK,3,KAYSERISPOR,0
5003,SIVASSPOR,3,FENERBAHCE,1
5004,BESIKTAS,0,BTC TURK YENİ MALATYASPOR,2
5005,TRABZONSPOR,1,YUKATEL DENİZLİSPOR,2
5006,BASAKSEHIR,1,KONYASPOR,1
5007,ANTALYASPOR,2,ANKARAGUCU,2
5008,BTC TURK YENİ MALATYASPOR,0,RIZESPOR,2
5009,KASIMPASA,3,GAZIANTEPFK,4
5010,GÖZTEPE A.Ş.,2,GALATASARAY,1
5011,GENÇLERBİRLİĞİ,2,SIVASSPOR,2
5012,KAYSERISPOR,1,BASAKSEHIR,4
5013,FENERBAHCE,3,BESIKTAS,1
5014,KONYASPOR,0,TRABZONSPOR,1
5015,YUKATEL DENİZLİSPOR,1,ALANYASPOR,5
5016,BESIKTAS,4,GENÇLERBİRLİĞİ,1
5017,ANKARAGUCU,2,YUKATEL DENİZLİSPOR,2
5018,BASAKSEHIR,5,KASIMPASA,1
5019,TRABZONSPOR,6,KAYSERISPOR,2
5020,GALATASARAY,5,ANTALYASPOR,0
5021,SIVASSPOR,1,GÖZTEPE A.Ş.,0
5022,ALANYASPOR,2,KONYASPOR,1
5023,GAZIANTEPFK,1,BTC TURK YENİ MALATYASPOR,1
5024,RIZESPOR,1,FENERBAHCE,2
5025,ANKARAGUCU,0,KONYASPOR,1
5026,ALANYASPOR,5,KAYSERISPOR,1
5027,BASAKSEHIR,4,BTC TURK YENİ MALATYASPOR,1
5028,GAZIANTEPFK,0,FENERBAHCE,2
5029,ANTALYASPOR,0,GÖZTEPE A.Ş.,3
5030,TRABZONSPOR,6,KASIMPASA,0
5031,GALATASARAY,2,YUKATEL DENİZLİSPOR,1
5032,BESIKTAS,1,SIVASSPOR,2
5033,RIZESPOR,2,GENÇLERBİRLİĞİ,0
5034,GENÇLERBİRLİĞİ,1,GAZIANTEPFK,0
5035,KAYSERISPOR,1,ANKARAGUCU,1
5036,KASIMPASA,1,ALANYASPOR,2
5037,FENERBAHCE,2,BASAKSEHIR,0
5038,YUKATEL DENİZLİSPOR,0,ANTALYASPOR,3
5039,GÖZTEPE A.Ş.,2,BESIKTAS,1
5040,KONYASPOR,0,GALATASARAY,3
5041,SIVASSPOR,1,RIZESPOR,1
5042,BTC TURK YENİ MALATYASPOR,1,TRABZONSPOR,3
5043,BASAKSEHIR,3,GENÇLERBİRLİĞİ,1
5044,ANTALYASPOR,0,KONYASPOR,0
5045,RIZESPOR,1,BESIKTAS,2
5046,TRABZONSPOR,2,FENERBAHCE,1
5047,ANKARAGUCU,1,KASIMPASA,1
5048,GAZIANTEPFK,5,SIVASSPOR,1
